case,op,process_id,repeat,input_hash,output_hash,rmse_vs_run0,mae,max_abs,cosine,first_mismatch,nax_enabled,zero_pad_mode,sync_mode
fox2026_step0_block0,qkv,91868,53,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,54,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,55,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,56,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,57,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,58,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,59,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,60,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,61,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,62,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,63,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,64,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,65,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,66,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,67,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,68,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,69,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,70,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,71,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,72,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,73,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,74,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,75,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,76,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,77,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,78,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,79,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,80,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,81,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,82,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,83,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,84,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,85,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,86,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,87,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,88,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
fox2026_step0_block0,qkv,91868,89,e6cabd41f05e5325,1900045fc35b9a50,0.000000000,0.000000000,0.000000000,1.000000000,-1,0,n/a,forced
